Branch,Clinic,Doctor Name,Clinic Rank in Medical Center,Doctor Rank in Clinic,Section,Period,Claimed Amount,#Claimants,#Claims,ACLC (Average Claimant Cost Doctor Clinic),ACC (Average Claim Cost Doctor Clinic),ACC (Average Claim Cost Branch Clinic),Ratio ACC to Branch,ACLC (Average Claimant Cost Branch Clinic),Ratio ACLC to Branch,ACC (Average Claim Cost Medical Centers Clinic),Ratio ACC to Medical Center,ACC INDICATOR,ACLC (Average Claimant Cost Medical Centers Clinic),Ratio ACLC to Medical Center
ENT CLINIC,HMC - Al Narjis,202311,RASHA  ABDULRAHMAN,208,206,"47,704",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"26,732",57,"6,800","13,794",321
ENT CLINIC,HMC - Al Narjis,202311,SABRINE   NAJAR,337,334,"84,807",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"44,370","2,401","4,604","30,980","2,452"
ENT CLINIC,HMC - Al Narjis,202311,SALEH ALQARYAN SALEH ALQARYAN,23,23,"7,018",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,115",,"2,079",984,840
ER CLINIC,HMC - Al Ghadeer,202311, DEEMA ABUAISH,122,120,"25,293",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"16,058","3,795","2,810",859,"1,771"
ER CLINIC,HMC - Al Ghadeer,202311,MOHAMMAD JUNAIDALLAH,90,87,"23,122",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,803","4,785","2,484","2,714","1,337"
ER CLINIC,HMC - Al Ghadeer,202311,AHMAD BIN KHALAF,82,79,"18,500",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"10,624","3,058","1,295","2,585",938
ER CLINIC,HMC - Al Ghadeer,202311,SOONAM SHAIKH  SOONAM SHAIKH,45,45,"8,855",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,674","1,190",969,357,665
ER CLINIC,HMC - Al Ghadeer,202311,ALIA KAMAL HABASH  ALIA KAMAL HABASH,38,38,"11,767",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,072","2,690","2,220",605,"1,179"
ER CLINIC,HMC - Al Ghadeer,202311,MOHAMMED MANEI AL RISHAN  MOHAMMED MANEI AL RISHAN,25,25,"5,172",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,293","1,641",74,67,97
ER CLINIC,HMC - Al Ghadeer,202311,MUTAZ MOUSA AHMED ALHARBI,35,34,"6,197",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,520",511,420,629,116
ER CLINIC,HMC - Al Ghadeer,202311,TALAL ALSHAIKH,22,22,"5,881",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,661","2,076",634,81,429
ER CLINIC,HMC - Al Ghadeer,202311,LAMA ALOTAIBI  LAMA ALOTAIBI,13,12,"3,650",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,571","1,367",399,75,237
ER CLINIC,HMC - Al Ghadeer,202311,RAWAN  ABDULMALIK,27,27,"5,198",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,663",255,820,249,212
ER CLINIC,HMC - Al Ghadeer,202311,Munira  Alkhashan,26,26,"4,324",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,428",,589,,306
ER CLINIC,HMC - Al Ghadeer,202311, FAHAD ALHUQAYL ,28,28,"4,826",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,710",292,543,36,245
ER CLINIC,HMC - Al Ghadeer,202311,ABDULMUHAIMEN   ALMUFTI,13,12,"2,103",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,514",78,312,14,184
ER CLINIC,HMC - Al Ghadeer,202311,AHMED ALGHAMDI  AHMED ALGHAMDI,14,14,"3,150",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,713",297,458,129,555
ER CLINIC,HMC - Al Ghadeer,202311,WAFA ALASWAD  WAFA ALASWAD,6,6,"1,811",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,794,175,42,573,227
ER CLINIC,HMC - Al Ghadeer,202311,Khalid  Alotaibi,4,4,732,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,559,,159,14,
ER CLINIC,HMC - Al Ghadeer,202311,MALAK ALSHARIF  MALAK ALSHARIF,6,6,"1,369",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,853,322,34,14,146
ER CLINIC,HMC - Al Ghadeer,202311,ABDULAZIZ   ALALI,6,6,"1,454",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,750,704,,,
ER CLINIC,HMC - Al Ghadeer,202311,HAMDAN ALMISHRAFI  HAMDAN ALMISHRAFI,5,5,"1,251",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,623,179,418,31,
ER CLINIC,HMC - Al Ghadeer,202311,Mohammed Aldini,7,7,"1,349",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,889,,221,239,
ER CLINIC,HMC - Al Ghadeer,202311,MOHAMMED ALJARBOU  MOHAMMED ALJARBOU,9,9,"1,241",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,145",,,,96
ER CLINIC,HMC - Al Ghadeer,202311,AHMED ALSHUDUKHI  AHMED ALSHUDUKHI,6,6,"1,184",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,794,176,31,37,146
ER CLINIC,HMC - Al Ghadeer,202311, Wadea Alshamek,9,9,345,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,345,,
ER CLINIC,HMC - Al Ghadeer,202311,Turki Alqahtane,7,7,228,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,228,,
ER CLINIC,HMC - Al Ghadeer,202311, Abdulfattah Alnami,9,8,367,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,352,15,
ER CLINIC,HMC - Al Ghadeer,202311,Mohammad Bajawi,8,5,321,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,321,,
ER CLINIC,HMC - Al Ghadeer,202311, Amaar Asiri,6,6,203,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,203,,
ER CLINIC,HMC - Al Ghadeer,202311,IBRAHIM  Bin Muhainy,1,1,236,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,140,77,19,,
ER CLINIC,HMC - Al Ghadeer,202311, Nawaf Alharbe,6,6,248,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,248,,
ER CLINIC,HMC - Al Ghadeer,202311, Khalid Alrasheed,4,1,429,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,429,,
ER CLINIC,HMC - Al Ghadeer,202311,Amaar Asiri,9,8,250,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,250,,
ER CLINIC,HMC - Al Ghadeer,202311, Naif Saban,2,2,63,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,63,,
ER CLINIC,HMC - Al Ghadeer,202311,Nawaf Alharbe,11,9,317,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,317,,
ER CLINIC,HMC - Al Ghadeer,202311,Wadea Alshamek,9,6,295,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,140,,141,14,
ER CLINIC,HMC - Al Ghadeer,202311, Mohammad Bajawi,4,4,223,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,76,,
ER CLINIC,HMC - Al Ghadeer,202311,RASHA FAWAZ ALSKAFF  RASHA FAWAZ ALSKAFF,2,2,235,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,235,,,,
ER CLINIC,HMC - Al Ghadeer,202311,Fatima Alanzi,5,5,195,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,176,19,
ER CLINIC,HMC - Al Ghadeer,202311, Saleh rubayq,4,4,153,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,153,,
ER CLINIC,HMC - Al Ghadeer,202311,Naif Saban,5,5,131,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,131,,
ER CLINIC,HMC - Al Ghadeer,202311, Ahmed Dahnawi,3,2,147,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,147,,
ER CLINIC,HMC - Al Ghadeer,202311,Alaa Alhourani,1,1,147,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,,,
ER CLINIC,HMC - Al Ghadeer,202311,AREEJ   ALHAMDI,1,1,118,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,,,
ER CLINIC,HMC - Al Ghadeer,202311, Fatima Alanzi,1,1,118,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,,,
ER CLINIC,HMC - Al Ghadeer,202311, RASHED FAHAD,3,3,78,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,78,,
ER CLINIC,HMC - Al Ghadeer,202311,RASHED FAHAD,1,1,33,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,33,,
ER CLINIC,HMC - Al Ghadeer,202311,Alaa Alfadhli,1,1,31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,31,,
ER CLINIC,HMC - Al Ghadeer,202311,Khalid Alrasheed,1,1,30,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,30,,
ER CLINIC,HMC - Al Ghadeer,202311,Ahmed Dahnawi,1,1,19,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,19,,
ER CLINIC,HMC - Al Ghadeer,202311,,3,2,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,
ER CLINIC,HMC - Al Narjis,202311, ABDULAZIZ ALSOUMALI,54,54,"9,577",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"6,971",194,218,520,"1,674"
ER CLINIC,HMC - Al Narjis,202311, ALWALEED  ALSHWIKH,73,72,"11,581",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,023",496,813,706,543
ER CLINIC,HMC - Al Narjis,202311, Amro Alhumaid,5,5,203,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,62,141,,
ER CLINIC,HMC - Al Narjis,202311, Fahad Alhudaib,9,8,368,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,368,,
ER CLINIC,HMC - Al Narjis,202311, Fahad Alshayaq,7,7,248,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,248,,
ER CLINIC,HMC - Al Narjis,202311, Faisal Alrahmy,1,1,30,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,30,,
ER CLINIC,HMC - Al Narjis,202311, Feras Aljabri,10,6,381,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,381,,
ER CLINIC,HMC - Al Narjis,202311, Khaled Almutairi,12,10,508,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,508,,
ER CLINIC,HMC - Al Narjis,202311, Khalid Al-otaibe,9,8,466,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,,334,15,
ER CLINIC,HMC - Al Narjis,202311, MADELYN AHMED OTHMAN,53,53,"14,461",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"6,705","3,237","1,589",542,"2,389"
ER CLINIC,HMC - Al Narjis,202311, Mazen Alyahya,7,7,270,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,270,,
ER CLINIC,HMC - Al Narjis,202311, Mohammad Alsubiay,15,12,496,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,496,,
ER CLINIC,HMC - Al Narjis,202311, Omar Alzahrani,11,8,348,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,348,,
ER CLINIC,HMC - Al Narjis,202311, Quennie Reinoso,1,1,22,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,22,,
ER CLINIC,HMC - Al Narjis,202311, Sami Alenazi,1,1,43,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,43,,
ER CLINIC,HMC - Al Narjis,202311,ABDULAZIZ   ALALI,132,131,"27,279",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"15,886","5,190","2,802","2,236","1,165"
ER CLINIC,HMC - Al Narjis,202311,ABDULMUHAIMEN   ALMUFTI,260,258,"55,825",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"33,725","3,947","9,944","4,054","4,154"
ER CLINIC,HMC - Al Narjis,202311,AHLAM  Alomar,80,79,"23,825",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"10,086","6,455","3,254","1,559","2,472"
ER CLINIC,HMC - Al Narjis,202311,AHMAD ALOLAH  AHMAD ALOLAH,17,17,"2,714",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,266",,220,11,218
ER CLINIC,HMC - Al Narjis,202311,AHMAD BIN KHALAF,92,89,"23,564",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,710","3,635","2,784","2,126","3,309"
ER CLINIC,HMC - Al Narjis,202311,AHMED ALGHAMDI  AHMED ALGHAMDI,2,2,712,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,241,271,136,64,
ER CLINIC,HMC - Al Narjis,202311,AHMED ALSHUDUKHI,6,6,"2,735",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,750,"1,349",168,75,393
ER CLINIC,HMC - Al Narjis,202311,ALIA KAMAL HABASH  ALIA KAMAL HABASH,37,37,"11,439",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,887","1,924","1,319",713,"2,596"
ER CLINIC,HMC - Al Narjis,202311,AREEJ   ALHAMDI,44,44,"9,257",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,181","1,797",736,267,"1,275"
ER CLINIC,HMC - Al Narjis,202311,Abdulrhman Alanzi,24,17,"1,508",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,118,175,"1,191",24,
ER CLINIC,HMC - Al Narjis,202311,Amro Alhumaid,11,10,653,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,653,,
ER CLINIC,HMC - Al Narjis,202311,Anime Klabi,4,4,"1,266",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,559,452,,,255
ER CLINIC,HMC - Al Narjis,202311,Charmaine Palomar,1,1,100,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,100,,
ER CLINIC,HMC - Al Narjis,202311,DIMAH HASSAN M ABUAISH  DIMAH HASSAN M ABUAISH,60,59,"9,829",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"7,601",211,846,876,295
ER CLINIC,HMC - Al Narjis,202311,ELIAS ELIAS,92,89,"16,505",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,338",476,"2,994","1,276",421
ER CLINIC,HMC - Al Narjis,202311,FAHAD ALHUQAYL  FAHAD ALHUQAYL,98,96,"24,986",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"12,047","6,650","2,273","1,763","2,252"
ER CLINIC,HMC - Al Narjis,202311,FAHAD ALKAHTANI  FAHAD ALKAHTANI,87,85,"22,148",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"10,925","2,814","1,569","6,019",822
ER CLINIC,HMC - Al Narjis,202311,Fahad Alhudaib,23,19,870,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,870,,
ER CLINIC,HMC - Al Narjis,202311,Feras Aljabri,21,17,"1,246",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,"1,246",,
ER CLINIC,HMC - Al Narjis,202311,GHALLAB   AL BEAINY,290,280,"67,007",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"36,055","14,332","8,632","3,282","4,707"
ER CLINIC,HMC - Al Narjis,202311,HAMDAN ALMISHRAFI  HAMDAN ALMISHRAFI,156,153,"40,761",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"20,172","4,844","9,165","3,231","3,350"
ER CLINIC,HMC - Al Narjis,202311,HANAN  ALAMER,40,40,"6,857",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,146",219,967,436,88
ER CLINIC,HMC - Al Narjis,202311,JOCELYNE  GHANIMEH,40,40,"7,277",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,307",308,"1,207",299,156
ER CLINIC,HMC - Al Narjis,202311,Khaled Almutairi,3,3,117,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,117,,
ER CLINIC,HMC - Al Narjis,202311,Khalid  Alotaibi,30,30,"8,113",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,899","2,048","1,219",476,471
ER CLINIC,HMC - Al Narjis,202311,Khalid Al-otaibe,9,6,832,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,147,,685,,
ER CLINIC,HMC - Al Narjis,202311,Lama Alotaibi,12,12,"1,852",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,617",,92,143,
ER CLINIC,HMC - Al Narjis,202311,MAHA MOHAMAD BELAL BARAKEH  MAHA MOHAMAD BELAL BARAKEH,91,91,"21,586",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,675","3,015","4,133","1,362","1,402"
ER CLINIC,HMC - Al Narjis,202311,MAHMOOD Sqour,3,3,389,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,359,,4,27,
ER CLINIC,HMC - Al Narjis,202311,MALAK ALSHARIF  MALAK ALSHARIF,12,12,"4,016",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,569",950,253,69,"1,177"
ER CLINIC,HMC - Al Narjis,202311,MALEK ALAAULLAH  MALEK ALAAULLAH,12,12,"2,468",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,624",374,140,65,264
ER CLINIC,HMC - Al Narjis,202311,MOAYAD  ALSAYYED,1,1,334,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,235,,99,,
ER CLINIC,HMC - Al Narjis,202311,MOHAMMED  MOHAMMED ALAWADI,3,3,500,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,382,,118,,
ER CLINIC,HMC - Al Narjis,202311,MOHAMMED MANEI AL RISHAN,17,17,"5,179",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,123",939,844,586,687
ER CLINIC,HMC - Al Narjis,202311,MOOSA KHALIFAH  MOOSA KHALIFAH,19,19,"8,284",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,646","4,045",589,596,408
ER CLINIC,HMC - Al Narjis,202311,Mazen Alyahya,12,12,620,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,125,,372,28,94
ER CLINIC,HMC - Al Narjis,202311,Meshari Alsabawi,5,5,260,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,260,,
ER CLINIC,HMC - Al Narjis,202311,Mohammad Alsubiay,7,7,301,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,301,,
ER CLINIC,HMC - Al Narjis,202311,Mohammad Junaidalah,202,199,"43,201",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"25,444","8,188","4,695","1,934","2,939"
ER CLINIC,HMC - Al Narjis,202311,Munira  Alkhashan,30,30,"6,478",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,731","1,335",919,256,237
ER CLINIC,HMC - Al Narjis,202311,Mutaz Alharbi,48,48,"11,857",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"6,322","2,501","1,588","1,328",117
ER CLINIC,HMC - Al Narjis,202311,Nourdin Saleh Salih,1,1,43,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,43,,
ER CLINIC,HMC - Al Narjis,202311,OLA IBRAHIM,53,53,"8,721",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"6,859",425,500,710,227
ER CLINIC,HMC - Al Narjis,202311,Omar Alzahrani,15,13,586,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,586,,
ER CLINIC,HMC - Al Narjis,202311,RASHA FAWAZ ALSKAFF  RASHA FAWAZ ALSKAFF,67,66,"13,645",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,397","1,624","1,474","1,351",799
ER CLINIC,HMC - Al Narjis,202311,RAWAN  ABDULMALIK,73,73,"13,199",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"9,434",421,"1,850","1,010",483
ER CLINIC,HMC - Al Narjis,202311,SAUD ALSHAHRANI  SAUD ALSHAHRANI,29,29,"5,941",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,672","1,592",121,315,241
ER CLINIC,HMC - Al Narjis,202311,SOONAM SHAIKH,251,245,"56,047",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"32,436","8,072","6,639","4,113","4,787"
ER CLINIC,HMC - Al Narjis,202311,SUHAIB  JABER,286,278,"53,000",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"36,699","1,898","10,878","2,241","1,284"
ER CLINIC,HMC - Al Narjis,202311,TALAL   ALSHAIKH  TALAL   ALSHAIKH,120,118,"23,906",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"15,423","4,325","2,266",746,"1,145"
ER CLINIC,HMC - Al Narjis,202311,THAER SALEH,61,61,"13,971",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"7,978","1,889","2,243","1,861",
ER CLINIC,HMC - Al Narjis,202311,WAFA ALASWAD  WAFA ALASWAD,32,32,"8,172",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,194","1,727","1,238",458,554
ER CLINIC,HMC - Al Narjis,202311,YOUSEF ALSHEHRI  YOUSEF ALSHEHRI,79,79,"15,514",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"10,471","1,488","1,099",366,"2,091"
FAMILY MEDICINE,HMC - Al Ghadeer,202311,HASSAN  ALSUGAIR,107,102,"89,918",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"17,228","53,945",941,"17,071",733
FAMILY MEDICINE,HMC - Al Ghadeer,202311,Alaa Alhourani,80,78,"65,525",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"12,116","41,817",325,"10,551",716
FAMILY MEDICINE,HMC - Al Ghadeer,202311,Hala Ghananeem,54,50,"47,178",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"8,134","30,157",419,"8,129",338
FAMILY MEDICINE,HMC - Al Ghadeer,202311,NOURA  ALHAMAD,66,61,"43,585",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,065","27,815",396,"4,026",284
FAMILY MEDICINE,HMC - Al Ghadeer,202311,MUNA  AL-DIN,31,31,"21,870",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,327","11,904",,"5,640",
FAMILY MEDICINE,HMC - Al Ghadeer,202311,HANAN FAYOUMI,36,36,"20,823",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"5,389","11,936",142,"2,847",509
FAMILY MEDICINE,HMC - Al Ghadeer,202311,Anas Alheyari,23,22,"19,309",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,113","9,658",132,"5,990",416
FAMILY MEDICINE,HMC - Al Ghadeer,202311,BAYAN  MOHSEN,3,3,"2,836",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,295,"2,541",,,
FAMILY MEDICINE,HMC - Al Ghadeer,202311,Omniah Osman,1,1,"1,175",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,186,989,,,
FAMILY MEDICINE,HMC - Al Narjis,202311, AHOUD  ALORAYFIJ,21,21,"20,300",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,385","14,136",,651,"2,127"
FAMILY MEDICINE,HMC - Al Narjis,202311,ABDULAZIZ  ALAHMARI,15,15,"7,698",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,720","5,439",114,425,
FAMILY MEDICINE,HMC - Al Narjis,202311,ABDULMALIK  AL MUFARRIH,36,35,"19,113",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,820","13,160",,850,284
FAMILY MEDICINE,HMC - Al Narjis,202311,ABDULRAHMAN  ALFAWAZ,28,28,"24,116",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,755","18,140",219,"1,886",116
FAMILY MEDICINE,HMC - Al Narjis,202311,AMIRA  ALJABER,31,31,"24,834",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"4,922","17,628",125,"1,295",863
FAMILY MEDICINE,HMC - Al Narjis,202311,Anime Klabi,90,90,"56,151",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"11,707","36,682",652,"5,422","1,689"
FAMILY MEDICINE,HMC - Al Narjis,202311,Badr Almutairi,26,26,"17,388",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,387","12,054",,"1,832",115
FAMILY MEDICINE,HMC - Al Narjis,202311,HAMOOD  ALTURAIGI,16,16,"12,195",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"2,079","9,471",151,495,
FAMILY MEDICINE,HMC - Al Narjis,202311,HAYTHAM   ALSAIF,37,36,"30,833",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"6,187","18,755",276,"4,979",636
FAMILY MEDICINE,HMC - Al Narjis,202311,HIBA  SHADERMA,75,70,"67,652",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"10,044","42,485",432,"13,256","1,435"
FAMILY MEDICINE,HMC - Al Narjis,202311,KHOLOUD  BINHAIKEL,23,23,"20,097",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,682","14,095",188,"1,322",811
FAMILY MEDICINE,HMC - Al Narjis,202311,MAHMOOD Sqour,107,103,"71,899",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"13,875","38,060","2,161","16,073","1,729"
FAMILY MEDICINE,HMC - Al Narjis,202311,MOHAMMED ALMUTAIRI,8,8,"7,934",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,529","5,963",142,300,
FAMILY MEDICINE,HMC - Al Narjis,202311,Marwa Alzaben,20,20,"12,201",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"3,268","6,515",415,"1,588",414
FAMILY MEDICINE,HMC - Al Narjis,202311,Norah Almukhlifi,16,16,"13,456",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"1,930","10,719",,807,
